0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.0 -47.9584 41.7642
 0.010000 -0.002039008098558987 -47.911234380642696 41.45078873215331
 0.020000 -0.003588723656409095 -47.85016962858801 41.046065180429515
 0.030000 -0.004560545266143633 -47.78678004741686 40.62751997852978
 0.040000 -0.005253236191304312 -47.7214414942145 40.1961394237434
 0.050000 -0.005833147109196449 -47.654295531067525 39.7528497146796
 0.060000 -0.006338909676638112 -47.585484006189745 39.29857693656734
 0.070000 -0.006728915883188944 -47.51514914034903 38.834247100320276
 0.080000 -0.0069485322875605495 -47.443429468312964 38.36078554348049
 0.090000 -0.006983193385388883 -47.370464460715446 37.87911786297763
 0.100000 -0.006879750089416813 -47.296394813706414 37.39016998915869
 0.110000 -0.006730136102343288 -47.22136402105859 36.89487303712439
 0.120000 -0.006630672455309307 -47.14551542396756 36.394155514333676
 0.130000 -0.006638832471043992 -47.06860827407005 35.88926015067223
 0.140000 -0.006855932723972505 -46.99079312472908 35.38114918685807
 0.150000 -0.007355443651558942 -46.91252733611231 34.87044603688283
 0.160000 -0.008065928753098174 -46.83400176185253 34.358055339477566
 0.170000 -0.008871513314016793 -46.755361890715804 33.84490251792617
 0.180000 -0.009732497537079618 -46.676753203503154 33.331913034520795
 0.190000 -0.010726381923614768 -46.598321724613285 32.82001181989991
 0.200000 -0.011962022817943781 -46.52021394944195 32.310123154651095
 0.210000 -0.013431969284249251 -46.44257624262419 31.80317111555915
 0.220000 -0.014953314692410968 -46.36555413575061 31.300080368608135
 0.230000 -0.016287215490869405 -46.289292167745565 30.801776494585837
 0.240000 -0.01733583559842778 -46.213934806553674 30.309184913425653
 0.250000 -0.018195521375092324 -46.13962731025425 29.82322956925903
 0.260000 -0.018987725484566835 -46.06651499789837 29.344833504687163
 0.270000 -0.019675570624511692 -45.99474177530475 28.87492069121427
 0.280000 -0.020120183660265675 -45.92444986583502 28.414416428562788
 0.290000 -0.020303249686193237 -45.85578114126214 27.96424532181618
 0.300000 -0.020378520909196212 -45.78887795271721 27.525329801479838
 0.310000 -0.02046439623137057 -45.723882007292104 27.098591738829366
 0.320000 -0.020512695545245537 -45.66093321414289 26.684954270808934
 0.330000 -0.020463081412564137 -45.6001685395337 26.285340690653772
 0.340000 -0.020388638843966227 -45.54172877729554 25.900671898366458
 0.350000 -0.020369214541182953 -45.4857524468832 25.531867424000307
 0.360000 -0.020356805016024507 -45.43229701607595 25.17984748674548
 0.370000 -0.020293253970908823 -45.38148678325484 24.84554102496866
 0.380000 -0.020219117413445595 -45.333550862418434 24.529855705523254
 0.390000 -0.020162617230077385 -45.288625619177076 24.233708149130784
 0.400000 -0.020082969278222583 -45.24684664738984 23.958013164168932
 0.410000 -0.019976396990757022 -45.208349050791 23.703683573794624
 0.420000 -0.01988167359513794 -45.17326750180469 23.47162992912554
 0.430000 -0.019795596663504667 -45.14173591295369 23.262761918992645
 0.440000 -0.019703431058072922 -45.1138876059622 23.077988452719815
 0.450000 -0.019623028465407838 -45.08985571544888 22.918217286322033
 0.460000 -0.0195603524764362 -45.069776724977984 22.784354697108938
 0.470000 -0.019505703847091823 -45.053785825899126 22.677307672235983
 0.480000 -0.019466364093120733 -45.0420083884706 22.597990219095145
 0.490000 -0.019448251127988085 -45.03457857656345 22.547313571646484
 0.500000 -0.01944465352107609 -45.03163122626042 22.52619213410803
 0.510000 -0.01945594606901194 -45.033272556762824 22.535400072796843
 0.520000 -0.019486663066489242 -45.0394306082846 22.57452901536666
 0.530000 -0.019532938445613074 -45.049966677797855 22.642660978871618
 0.540000 -0.01959314648097389 -45.06474305736803 22.73888378987199
 0.550000 -0.01966881600771967 -45.08362322560599 22.862287335585172
 0.560000 -0.019758095784108552 -45.10648250645412 23.011957181529347
 0.570000 -0.019860492476441328 -45.13317586243189 23.186989643032717
 0.580000 -0.019976422700704433 -45.16356825757033 23.386476268776136
 0.590000 -0.020103237308334028 -45.19752472574259 23.609507937918877
 0.600000 -0.020236677797164433 -45.234910257527936 23.855174473427944
 0.610000 -0.020374074141511336 -45.27558969086172 24.122564308612283
 0.620000 -0.020513412129189976 -45.31942762237531 24.410764341520398
 0.630000 -0.020652228959003843 -45.3662883466481 24.71885990495735
 0.640000 -0.020788478116192693 -45.41603583184608 25.04593479219051
 0.650000 -0.020920666601422014 -45.46853371347389 25.391071354166492
 0.660000 -0.02104696214645195 -45.52364529215093 25.753350656460018
 0.670000 -0.021165010960305077 -45.581233537263486 26.131852652502847
 0.680000 -0.021272381576522035 -45.64116109441754 26.525656355412433
 0.690000 -0.02136660240900968 -45.70329028770207 26.933840009775974
 0.700000 -0.021444849394556143 -45.767483112912544 27.355481254976546
 0.710000 -0.021503858784584905 -45.833601224055464 27.789657267025618
 0.720000 -0.021540066964851577 -45.901505914662906 28.235444875438475
 0.730000 -0.021549646717470904 -45.971058093548436 28.691920658540774
 0.740000 -0.021528381251010628 -46.04211825630015 29.15816101921783
 0.750000 -0.02147155858108041 -46.114546456357445 29.633242241163988
 0.760000 -0.02137398157458214 -46.18820227988666 30.116240527140153
 0.770000 -0.021230027177146664 -46.26294482754081 30.606232022855405
 0.780000 -0.021033675100460905 -46.33863270538351 31.102292830301877
 0.790000 -0.020778508551136794 -46.41512402707491 31.60349901329956
 0.800000 -0.020457735460449093 -46.49227642908262 32.10892659715912
 0.810000 -0.0200642576651161 -46.56994709979026 32.617651564152084
 0.820000 -0.01959077842806912 -46.647992822225355 33.12874984641433
 0.830000 -0.019037816405343216 -46.72478771076051 33.640164453809284
 0.840000 -0.01849080949489252 -46.80236253970761 34.15301904164928
 0.850000 -0.01797555633645312 -46.880604985147336 34.66610788060673
 0.860000 -0.0174748463375125 -46.9589468583471 35.178010813674305
 0.870000 -0.01696991796141095 -47.036863641301935 35.687630236617544
 0.880000 -0.016446417889378083 -47.11426948929772 36.19404178826895
 0.890000 -0.015910255319760726 -47.19057376267182 36.69641833786641
 0.900000 -0.01541772372873634 -47.265764216173956 37.19379873134343
 0.910000 -0.01501373607690576 -47.34005479849389 37.68519746755932
 0.920000 -0.014694510615376664 -47.41330624573801 38.169690293821006
 0.930000 -0.014428604497624491 -47.48537897952773 38.646352916483984
 0.940000 -0.014184241584531725 -47.5561330720928 39.11426046253185
 0.950000 -0.01394707381730534 -47.625429076376044 39.57248843495961
 0.960000 -0.013722705297125416 -47.69312782167123 40.02011235469505
