TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
49600,0.5,0.2,0.2,0.5,0,0,0,0.2,0,0,0.2
49615,0.5,0.2,0.2,0.5,0,0,0,0.2,0.2,0.5,0.2
49626,0.5,0.2,0.2,0.5,0,0,0,0.5,0,0,0
49630,0.5,0.2,0.2,0.5,0,0,0,0.5,0,0.2,0.2
49642,0.5,0.2,0.2,0.5,0,0,0,0.5,0.2,0.5,0.2
49649,0.5,0.2,0.2,0.5,0,0,0,0.5,0.5,0.2,0.5
49660,0.5,0.2,0.2,0.5,0,0,0.2,0,0,0.5,0.2
49668,0.5,0.2,0.2,0.5,0,0,0.2,0,0.2,0.5,0
49678,0.5,0.2,0.2,0.5,0,0,0.2,0,0.5,0.5,0.2
49687,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0,0.5,0.2
49696,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0.2,0.5,0.2
49706,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0.5,0.5,0.5
49716,0.5,0.2,0.2,0.5,0,0,0.2,0.5,0.2,0,0
49726,0.5,0.2,0.2,0.5,0,0,0.2,0.5,0.5,0,0.2
49743,0.5,0.2,0.2,0.5,0,0,0.5,0,0.2,0,0
49753,0.5,0.2,0.2,0.5,0,0,0.5,0,0.5,0,0.2
49763,0.5,0.2,0.2,0.5,0,0,0.5,0.2,0,0,0.5
49773,0.5,0.2,0.2,0.5,0,0,0.5,0.2,0.2,0.2,0
49782,0.5,0.2,0.2,0.5,0,0,0.5,0.2,0.5,0.2,0
49792,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0,0.2,0.2
49801,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0.2,0.2,0.2
49811,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0.5,0.2,0.5
49821,0.5,0.2,0.2,0.5,0,0.2,0,0,0,0.5,0
49830,0.5,0.2,0.2,0.5,0,0.2,0,0,0.2,0.5,0
49840,0.5,0.2,0.2,0.5,0,0.2,0,0,0.5,0.5,0.2
49849,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0,0.5,0.2
49858,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0.2,0.5,0.2
49868,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0.5,0.5,0.5
49874,0.5,0.2,0.2,0.5,0,0.2,0,0.5,0,0.2,0.5
49885,0.5,0.2,0.2,0.5,0,0.2,0,0.5,0.2,0.5,0.2
49890,0.5,0.2,0.2,0.5,0,0.2,0,0.5,0.5,0.2,0
