#---------- Tue Nov 29 16:15:24 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
163,false,0.01,1
174,true,0.01,1
184,true,0.01,1
196,true,0.01,1
207,true,0.01,1
217,true,0.01,1
222,true,0.01,1
236,true,0.01,1
242,true,0.01,1
250,true,0.01,1
260,true,0.01,1
270,true,0.01,1
280,true,0.01,1
293,true,0.01,1
302,true,0.01,1
311,true,0.01,1
319,true,0.01,1
328,true,0.01,1
338,true,0.01,1
347,true,0.01,1
357,false,0.01,1
367,true,0.01,1
377,true,0.01,1
389,true,0.01,1
398,true,0.01,1
409,true,0.01,1
420,false,0.01,1
425,true,0.01,1
435,true,0.01,1
446,true,0.01,1
457,false,0.01,1
471,true,0.01,1
482,true,0.01,1
490,true,0.01,1
500,true,0.01,1
508,true,0.01,1
517,true,0.01,1
525,true,0.01,1
533,true,0.01,1
548,true,0.01,1
558,true,0.01,1
568,true,0.01,1
578,true,0.01,1
588,true,0.01,1
598,true,0.01,1
608,true,0.01,1
618,false,0.01,1
628,false,0.01,1
639,true,0.01,1
648,false,0.01,1
661,false,0.01,1
674,false,0.01,1
684,true,0.01,1
694,true,0.01,1
704,true,0.01,1
711,true,0.01,1
719,true,0.01,1
732,true,0.01,1
742,true,0.01,1
752,true,0.01,1
762,false,0.01,1
774,true,0.01,1
784,true,0.01,1
795,true,0.01,1
804,true,0.01,1
813,true,0.01,1
823,true,0.01,1
833,true,0.01,1
844,true,0.01,1
860,true,0.01,1
865,true,0.01,1
875,true,0.01,1
885,true,0.01,1
893,true,0.01,1
906,false,0.01,1
916,false,0.01,1
926,true,0.01,1
936,true,0.01,1
944,true,0.01,1
956,true,0.01,1
963,true,0.01,1
971,true,0.01,1
985,true,0.01,1
995,true,0.01,1
1004,true,0.01,1
1010,true,0.01,1
1022,true,0.01,1
1032,true,0.01,1
1042,true,0.01,1
1053,true,0.01,1
1063,true,0.01,1
1073,true,0.01,1
1083,true,0.01,1
1092,true,0.01,1
1099,true,0.01,1
1106,true,0.01,1
1121,true,0.01,1
1130,true,0.01,1
1139,false,0.01,1
1147,false,0.01,1
1158,false,0.01,1
1165,true,0.01,1
1176,false,0.01,1
1183,true,0.01,1
1196,true,0.01,1
1206,true,0.01,1
1212,false,0.01,1
1221,false,0.01,1
1230,false,0.01,1
1239,false,0.01,1
1249,false,0.01,1
1257,false,0.01,1
1271,true,0.01,1
1282,true,0.01,1
1288,true,0.01,1
1299,false,0.01,1
1305,true,0.01,1
1315,true,0.01,1
1324,true,0.01,1
1332,true,0.01,1
1340,false,0.01,1
1352,true,0.01,1
1360,true,0.01,1
1367,false,0.01,1
1379,true,0.01,1
1391,false,0.01,1
1397,true,0.01,1
1406,true,0.01,1
1414,true,0.01,1
1423,true,0.01,1
1432,true,0.01,1
1440,true,0.01,1
1446,false,0.01,1
1456,false,0.01,1
1465,false,0.01,1
1473,false,0.01,1
1482,false,0.01,1
1491,false,0.01,1
1500,false,0.01,1
1508,false,0.01,1
1516,false,0.01,1
1521,true,0.01,1
1533,false,0.01,1
1542,false,0.01,1
1555,false,0.01,1
1563,false,0.01,1
1571,false,0.01,1
1580,false,0.01,1
1587,false,0.01,1
1598,false,0.01,1
1610,false,0.01,1
1616,true,0.01,1
1624,false,0.01,1
1637,false,0.01,1
1641,false,0.01,1
1655,false,0.01,1
1664,false,0.01,1
1673,false,0.01,1
1681,false,0.01,1
1688,true,0.01,1
1697,true,0.01,1
1705,false,0.01,1
1714,false,0.01,1
1723,false,0.01,1
1729,false,0.01,1
1739,false,0.01,1
1746,false,0.01,1
1755,true,0.01,1
1767,false,0.01,1
1774,false,0.01,1
1789,false,0.01,1
1795,false,0.01,1
1805,false,0.01,1
1815,false,0.01,1
