TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation
0,0,0,0
1,0,0,0.1
2,0,0,0.25
3,0,0.1,0
4,0,0.1,0.1
5,0,0.1,0.25
6,0,0.25,0
7,0,0.25,0.1
8,0,0.25,0.25
9,0.1,0,0
10,0.1,0,0.1
11,0.1,0,0.25
12,0.1,0.1,0
13,0.1,0.1,0.1
14,0.1,0.1,0.25
15,0.1,0.25,0
16,0.1,0.25,0.1
17,0.1,0.25,0.25
18,0.25,0,0
19,0.25,0,0.1
20,0.25,0,0.25
21,0.25,0.1,0
22,0.25,0.1,0.1
23,0.25,0.1,0.25
24,0.25,0.25,0
25,0.25,0.25,0.1
26,0.25,0.25,0.25
