0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.05757413 0.0 0.099916
 0.010000 0.05757413 0.0 0.099916
 0.020000 0.05757413 0.0 0.099916
 0.030000 0.05757413 1.2924697071141057E-26 0.099916
 0.040000 0.05757413 -2.972680326362443E-25 0.099916
 0.050000 0.05757413 -9.04728794979874E-26 0.099916
 0.060000 0.05757413 -9.17653492051015E-25 0.099916
 0.070000 0.05757413 -9.17653492051015E-25 0.099916
 0.080000 0.05757413 -9.04728794979874E-26 0.099916
 0.090000 0.05757413 -9.04728794979874E-26 0.099916
 0.100000 0.05757413 -9.04728794979874E-26 0.099916
 0.110000 0.05757413 -1.7448341046040428E-24 0.099916
 0.120000 0.05757413 -1.7448341046040428E-24 0.099916
 0.130000 0.05757413 -5.0535565548161535E-24 0.099916
 0.140000 0.05757413 -1.7448341046040428E-24 0.099916
 0.150000 0.05757413 -8.362279005028264E-24 0.099916
 0.160000 0.05757413 -5.0535565548161535E-24 0.099916
 0.170000 0.05757413 -5.0535565548161535E-24 0.099916
 0.180000 0.05757413 -5.0535565548161535E-24 0.099916
 0.190000 0.05757413 -8.362279005028264E-24 0.099916
 0.200000 0.05757413 -1.7448341046040428E-24 0.099916
 0.210000 0.05757413 -5.0535565548161535E-24 0.099916
 0.220000 0.05757413 -8.362279005028264E-24 0.099916
 0.230000 0.05757413 1.563888345608068E-24 0.099916
 0.240000 0.05757413 1.563888345608068E-24 0.099916
 0.250000 0.05757413 -5.0535565548161535E-24 0.099916
 0.260000 0.05757413 1.563888345608068E-24 0.099916
 0.270000 0.05757413 8.18133324603229E-24 0.099916
 0.280000 0.05757413 1.563888345608068E-24 0.099916
 0.290000 0.05757413 1.563888345608068E-24 0.099916
 0.300000 0.05757413 1.563888345608068E-24 0.099916
 0.310000 0.05757413 1.479877814645651E-23 0.099916
 0.320000 0.05757413 -5.0535565548161535E-24 0.099916
 0.330000 0.05757413 -5.0535565548161535E-24 0.099916
 0.340000 0.05757413 -5.0535565548161535E-24 0.099916
 0.350000 0.05757413 -5.0535565548161535E-24 0.099916
 0.360000 0.05757413 1.563888345608068E-24 0.099916
 0.370000 0.05757413 -1.1671001455240375E-23 0.099916
 0.380000 0.05757413 -1.8288446355664596E-23 0.099916
 0.390000 0.05757413 -1.1671001455240375E-23 0.099916
 0.400000 0.05757413 1.563888345608068E-24 0.099916
 0.410000 0.05757413 1.563888345608068E-24 0.099916
 0.420000 0.05757413 1.563888345608068E-24 0.099916
 0.430000 0.05757413 1.563888345608068E-24 0.099916
 0.440000 0.05757413 -1.1671001455240375E-23 0.099916
 0.450000 0.05757413 -1.8288446355664596E-23 0.099916
 0.460000 0.05757413 1.563888345608068E-24 0.099916
 0.470000 0.05757413 -1.1671001455240375E-23 0.099916
 0.480000 0.05757413 -1.8288446355664596E-23 0.099916
 0.490000 0.05757413 -2.4905891256088818E-23 0.099916
 0.500000 0.05757413 2.1416223046880732E-23 0.099916
 0.510000 0.05757413 1.563888345608068E-24 0.099916
 0.520000 0.05757413 -5.0535565548161535E-24 0.099916
 0.530000 0.05757413 -5.0535565548161535E-24 0.099916
 0.540000 0.05757413 -5.0535565548161535E-24 0.099916
 0.550000 0.05757413 2.1416223046880732E-23 0.099916
 0.560000 0.05757413 2.1416223046880732E-23 0.099916
 0.570000 0.05757413 2.1416223046880732E-23 0.099916
 0.580000 0.05757413 -5.0535565548161535E-24 0.099916
 0.590000 0.05757413 -1.8288446355664596E-23 0.099916
 0.600000 0.05757413 -2.4905891256088818E-23 0.099916
 0.610000 0.05757413 -5.0535565548161535E-24 0.099916
 0.620000 0.05757413 8.18133324603229E-24 0.099916
 0.630000 0.05757413 8.18133324603229E-24 0.099916
 0.640000 0.05757413 -1.8288446355664596E-23 0.099916
 0.650000 0.05757413 -1.1671001455240375E-23 0.099916
 0.660000 0.05757413 -3.152333615651304E-23 0.099916
 0.670000 0.05757413 2.1416223046880732E-23 0.099916
 0.680000 0.05757413 1.563888345608068E-24 0.099916
 0.690000 0.05757413 -5.0535565548161535E-24 0.099916
 0.700000 0.05757413 -1.1671001455240375E-23 0.099916
 0.710000 0.05757413 -2.4905891256088818E-23 0.099916
 0.720000 0.05757413 1.563888345608068E-24 0.099916
 0.730000 0.05757413 -5.0535565548161535E-24 0.099916
 0.740000 0.05757413 1.563888345608068E-24 0.099916
 0.750000 0.05757413 -5.0535565548161535E-24 0.099916
 0.760000 0.05757413 -2.4905891256088818E-23 0.099916
 0.770000 0.05757413 8.18133324603229E-24 0.099916
 0.780000 0.05757413 1.479877814645651E-23 0.099916
 0.790000 0.05757413 1.563888345608068E-24 0.099916
 0.800000 0.05757413 8.18133324603229E-24 0.099916
 0.810000 0.05757413 -1.1671001455240375E-23 0.099916
 0.820000 0.05757413 -1.1671001455240375E-23 0.099916
 0.830000 0.05757413 1.563888345608068E-24 0.099916
 0.840000 0.05757413 -5.0535565548161535E-24 0.099916
 0.850000 0.05757413 1.563888345608068E-24 0.099916
 0.860000 0.05757413 8.18133324603229E-24 0.099916
 0.870000 0.05757413 -1.8288446355664596E-23 0.099916
 0.880000 0.05757413 -1.1671001455240375E-23 0.099916
 0.890000 0.05757413 4.872610795820179E-24 0.099916
 0.900000 0.05757413 4.872610795820179E-24 0.099916
 0.910000 0.05757413 1.563888345608068E-24 0.099916
 0.920000 0.05757413 -8.362279005028264E-24 0.099916
 0.930000 0.05757413 1.563888345608068E-24 0.099916
 0.940000 0.05757413 -1.7448341046040428E-24 0.099916
 0.950000 0.05757413 -1.7448341046040428E-24 0.099916
 0.960000 0.05757413 -1.7448341046040428E-24 0.099916
 0.970000 0.05757413 1.563888345608068E-24 0.099916
 0.980000 0.05757413 -3.399195329710098E-24 0.099916
 0.990000 0.05757413 -1.7448341046040428E-24 0.099916
 1.000000 0.05757413 3.2182495707141233E-24 0.099916
