0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.0 0.0 0.0
 0.010000 0.0 0.0 0.0
 0.020000 -0.0011888054561294548 -8.863696888223886E-9 1.0908204609721972E-4
 0.030000 -0.0035372455810478423 -3.406163380409494E-8 -7.893059454644469E-5
 0.040000 -0.007293898166700627 -9.979440126085355E-8 -1.2704829558674033E-4
 0.050000 -0.011859190343031092 -2.2427825358690099E-7 -2.6436509569377476E-4
 0.060000 -0.01650128423137596 -4.0499126156722916E-7 -7.784951001635347E-4
 0.070000 -0.02090088380464139 -6.238844510798806E-7 -0.0015848779344462822
 0.080000 -0.02515411553075734 -8.607987430022862E-7 -0.002481309676866107
 0.090000 -0.02949922030501538 -1.0989743403034405E-6 -0.003498703365743815
 0.100000 -0.03410407904174753 -1.326585693252477E-6 -0.0046795766378046645
 0.110000 -0.03902186372264499 -1.5356760144456486E-6 -0.006068244793987208
 0.120000 -0.044222691879643866 -1.721466981599227E-6 -0.007675238051112203
 0.130000 -0.049653173016426376 -1.8822270930468512E-6 -0.009477874399266287
 0.140000 -0.05527343762090425 -2.019036864488655E-6 -0.011434935323487163
 0.150000 -0.06106387799297073 -2.1351177944921067E-6 -0.013503475542325777
 0.160000 -0.06701434163095746 -2.2348843788024916E-6 -0.015647219683352635
 0.170000 -0.07311094094414738 -2.3230501093399846E-6 -0.017835445124791953
 0.180000 -0.07932900321886631 -2.403999394684346E-6 -0.020037725319481413
 0.190000 -0.0856332791289036 -2.4814609520152878E-6 -0.022220114740635618
 0.200000 -0.09198239060072706 -2.5584091507108253E-6 -0.024345020566104984
 0.210000 -0.09833397421076881 -2.6370908636455574E-6 -0.026374004865677144
 0.220000 -0.10464840083595907 -2.7190951506748573E-6 -0.02827159621043293
 0.230000 -0.11089057032895158 -2.805419483228772E-6 -0.030008481319845896
 0.240000 -0.11703024077743814 -2.896519384088529E-6 -0.03156332044818163
 0.250000 -0.1230416148096949 -2.992349218180424E-6 -0.032923214401654764
 0.260000 -0.1289027524800951 -3.092409054482858E-6 -0.03408323850460917
 0.270000 -0.13459509174810813 -3.195809400359771E-6 -0.03504546926219878
 0.280000 -0.14010311435639983 -3.301357090513303E-6 -0.03581776654585785
 0.290000 -0.14541407550860339 -3.4076574098501974E-6 -0.0364124352398548
 0.300000 -0.15051771360872895 -3.5132223221081144E-6 -0.03684484902956441
 0.310000 -0.15540737073091038 -3.616722195884798E-6 -0.03714636299187032
 0.320000 -0.16007333461964315 -3.7168556651533726E-6 -0.03733309738926805
 0.330000 -0.16452041284334024 -3.812547644673196E-6 -0.037413829068844134
 0.340000 -0.1687401268561687 -3.902785324013915E-6 -0.037388428844242774
 0.350000 -0.17272749213987018 -3.98715401836968E-6 -0.03727452536600036
 0.360000 -0.17647768070009606 -4.0655742515089E-6 -0.03708952108628091
 0.370000 -0.17998063326548358 -4.137748460048203E-6 -0.03681287522787205
 0.380000 -0.18319247631844524 -4.200999834175194E-6 -0.03618889941910117
 0.390000 -0.1861802267300088 -4.258706515922424E-6 -0.03553966516546267
 0.400000 -0.18898963488855966 -4.308721399533311E-6 -0.034916879240631776
 0.410000 -0.19161419002578997 -4.349962735619339E-6 -0.034328501503240474
 0.420000 -0.1940222876525844 -4.383307461087303E-6 -0.033776953873800045
 0.430000 -0.19618192943463655 -4.410221430293736E-6 -0.03327628102910847
 0.440000 -0.19807883843629212 -4.432189192341253E-6 -0.03283329996969926
 0.450000 -0.1997135028918636 -4.4505202033083375E-6 -0.03244590463234166
 0.460000 -0.20109167040677228 -4.466320401831062E-6 -0.0321065612584076
 0.470000 -0.20221410683840524 -4.480509087649196E-6 -0.03178744135579897
 0.480000 -0.20305201606401554 -4.493737867158773E-6 -0.031366455287396004
 0.490000 -0.20357752074089153 -4.50722502829547E-6 -0.03100740250771699
 0.500000 -0.20384868776843762 -4.521275001567812E-6 -0.03076503152832504
 0.510000 -0.2038981359208381 -4.536141639939928E-6 -0.030619909504507596
 0.520000 -0.20372817771417231 -4.552281568273531E-6 -0.030541079174004053
 0.530000 -0.203331010057512 -4.570403277364551E-6 -0.030519805191153708
 0.540000 -0.20270220075541956 -4.591379727038208E-6 -0.030562728568303547
 0.550000 -0.20184402113685984 -4.616110744399281E-6 -0.030680142100136802
 0.560000 -0.2007509446032598 -4.645168990666376E-6 -0.030802852151788622
 0.570000 -0.19939247746480157 -4.679108363782967E-6 -0.03089500411389278
 0.580000 -0.19775789270691918 -4.7183334178500515E-6 -0.03101712877097012
 0.590000 -0.19587619886717386 -4.762549989552035E-6 -0.0312080800115827
 0.600000 -0.1937788459923847 -4.810955320676266E-6 -0.03145902565155765
 0.610000 -0.19148236490049644 -4.86254457840868E-6 -0.03174273340324773
 0.620000 -0.18899029244350626 -4.916326643152661E-6 -0.03203963915136139
 0.630000 -0.18630064520337378 -4.971412422213168E-6 -0.03234271409180424
 0.640000 -0.18341164378453753 -5.02700070908711E-6 -0.03265202517034604
 0.650000 -0.18032389263148227 -5.0823133033652644E-6 -0.03296850231425955
 0.660000 -0.177007100917216 -5.13385588554712E-6 -0.03308670225993653
 0.670000 -0.173463801358334 -5.178778035534702E-6 -0.03299801908388248
