0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.01816405717352732 -2.1209851427221168E-7 -8.934164585336923E-4
 0.010000 0.009209553536871525 7.649961322704458E-6 -0.0022409614605368223
 0.020000 0.0018977840414477172 1.0670262754847686E-5 8.119237838256461E-4
 0.030000 -4.4868706214368416E-4 9.310010362747368E-6 0.0018739296763772052
 0.040000 6.08607860506767E-4 4.733295139964375E-6 0.0016999152449892647
 0.050000 0.0026553029693751947 -6.002430242241153E-7 0.001361030187384616
 0.060000 0.004192585305789049 -5.0665082400363105E-6 0.0012387834549976373
 0.070000 0.0049673390629778455 -8.053475470437906E-6 0.0014575465992004513
 0.080000 0.005220583747609345 -9.604484026117069E-6 0.0017826202380653662
 0.090000 0.005289787538179528 -1.0040575413144569E-5 0.0020760684978635684
 0.100000 0.0053784409417939934 -9.717172849496337E-6 0.002291611950032843
 0.110000 0.0059421322091913805 -7.382547942453057E-6 0.002116718861333425
 0.120000 0.006302609872268342 -5.312766089147256E-6 0.0028428653122657866
 0.130000 0.005565701656516089 -3.710039097408426E-6 0.0024322866702789314
 0.140000 0.004757440942152088 -2.5388625944862448E-6 0.0016755720460731312
 0.150000 0.0044055244868583185 -1.7207991056309688E-6 0.0011097242961026548
 0.160000 0.0043490224728793565 -1.1945681691882834E-6 9.057714520247629E-4
 0.170000 0.004424423287227311 -8.564596303451729E-7 7.958891072545991E-4
 0.180000 0.004508082896191698 -6.19196220418355E-7 8.175866609411599E-4
 0.190000 0.004507015842400074 -4.3866394542718926E-7 8.211299840848184E-4
 0.200000 0.0044322166245700755 -2.952619730257044E-7 7.611326608391637E-4
 0.210000 0.004327186017049294 -1.8023629624229562E-7 6.531924636946424E-4
 0.220000 0.004221575687916148 -8.871255067780596E-8 5.289471183097079E-4
 0.230000 0.004122481866004519 -1.6840815299818196E-8 4.114665386418663E-4
 0.240000 0.0040246449596267105 3.892804348410556E-8 3.1029697176810137E-4
 0.250000 0.003921414655937674 8.179777068334604E-8 2.2548587040137008E-4
 0.260000 0.0038095892582281523 1.1448268437533467E-7 1.5313985191703868E-4
 0.270000 0.0036892614043877656 1.3916352399176457E-7 8.93136543659936E-5
 0.280000 0.0035619459894366654 1.5753825566723807E-7 3.1651182048168375E-5
 0.290000 0.0034291345407052934 1.7091660045438744E-7 -2.0603432441583464E-5
 0.300000 0.0032918031239435436 1.8031719238394724E-7 -6.730663206012618E-5
 0.310000 0.0031505293678263805 1.8654619086460378E-7 -1.0811978928550584E-4
 0.320000 0.003005753910260895 1.9025209801845506E-7 -1.428988043234559E-4
 0.330000 0.0028579365915879775 1.9196090459095705E-7 -1.7177016457804267E-4
 0.340000 0.0027075755249397603 1.920989035279457E-7 -1.9503863373877936E-4
 0.350000 0.0025551561863597057 1.9100937197826359E-7 -2.130676343048293E-4
 0.360000 0.0024010979025839044 1.88966661183618E-7 -2.2620470944764137E-4
 0.370000 0.002245727585641463 1.861888540285057E-7 -2.3476052987398405E-4
 0.380000 0.002089278856772604 1.828489295137083E-7 -2.3901901443307584E-4
 0.390000 0.0019319025508924067 1.7908417211392946E-7 -2.3925420953347222E-4
 0.400000 0.001773676923098185 1.7500374493204382E-7 -2.3574066524255493E-4
 0.410000 0.0016146129386000918 1.7069467233464404E-7 -2.2875510481740823E-4
 0.420000 0.001454655343091954 1.6622653239128686E-7 -2.185728400713401E-4
 0.430000 0.0012936820281465508 1.6165521451611794E-7 -2.054630784156818E-4
 0.440000 0.001131503614599016 1.5702594789918525E-7 -1.8968559113241904E-4
 0.450000 9.678638727638119E-4 1.5237577451427244E-7 -1.7148936736714073E-4
 0.460000 8.024406608325294E-4 1.4773557653436666E-7 -1.5111283778005606E-4
 0.470000 6.348467617351964E-4 1.4313172045068686E-7 -1.287850279280453E-4
 0.480000 4.6463012983707973E-4 1.3858739603856165E-7 -1.0472721595274942E-4
 0.490000 2.9127332003336487E-4 1.3412369990807923E-7 -7.915496911632511E-5
 0.500000 1.1419207218588309E-4 1.297605271075527E-7 -5.228064084510544E-5
 0.510000 -6.63452714465433E-5 1.2548096464076085E-7 -2.440480438384335E-5
 0.520000 -2.465379877979106E-4 1.2112084681650867E-7 3.869615540154068E-6
 0.530000 -4.2249339021461607E-4 1.1649636799055669E-7 3.2013369033866345E-5
 0.540000 -5.925697570265258E-4 1.1153933673013274E-7 5.933613931145846E-5
 0.550000 -7.571426933742777E-4 1.0629129577274E-7 8.516022717800131E-5
 0.560000 -9.174887356382583E-4 1.0084066362469722E-7 1.0908075038772642E-4
 0.570000 -0.0010748911161737843 9.527604733433692E-8 1.3097103104762318E-4
 0.580000 -0.0012302587455729388 8.966825699737304E-8 1.5083343800086893E-4
 0.590000 -0.0013841157206843705 8.406928086498358E-8 1.6866093469251257E-4
 0.600000 -0.0015367360063217445 7.851660722396306E-8 1.843753807098327E-4
 0.610000 -0.0016882747855931537 7.30372842285614E-8 1.9782800887027294E-4
 0.620000 -0.001838843267438315 6.765037811426563E-8 2.088246441190258E-4
 0.630000 -0.001988531492666501 6.236817258993297E-8 2.171488586356207E-4
 0.640000 -0.0021374023486971363 5.719672198162105E-8 2.2257336731165678E-4
 0.650000 -0.0022854768498842396 5.2136128436875605E-8 2.2486103470802186E-4
 0.660000 -0.002432721377062528 4.7180737634636335E-8 2.2376056184264173E-4
 0.670000 -0.0025790400089562523 4.2319279661034454E-8 2.190012337513693E-4
 0.680000 -0.0027242712500117846 3.753495826026626E-8 2.1028905304945657E-4
 0.690000 -0.0028681874479182493 3.280546109960647E-8 1.9730482638984656E-4
 0.700000 -0.003010495543197112 2.810288962847956E-8 1.7970379841625571E-4
 0.710000 -0.003150838477856387 2.339356791838507E-8 1.5711611796978014E-4
 0.720000 -0.003288797139329873 1.8637756261910223E-8 1.2914748152698935E-4
 0.730000 -0.003423893020915492 1.3789234126501312E-8 9.537948143760624E-5
 0.740000 -0.003555591888384735 8.794780365500528E-9 5.536935098974503E-5
 0.750000 -0.0036833087370312565 3.5935444919615942E-9 8.648901488461069E-6
 0.760000 -0.003806414273889091 -1.883687712983667E-9 -4.52774885945698E-5
 0.770000 -0.003924243118511118 -7.715298683187449E-9 -1.069358834009095E-4
 0.780000 -0.004036103929437655 -1.3989679855762489E-8 -1.7688664610011797E-4
 0.790000 -0.0041412917936404356 -2.080603675927862E-8 -2.5572854856567654E-4
 0.800000 -0.004239103563204565 -2.8274988061111475E-8 -3.4410167708395464E-4
 0.810000 -0.004328857559447166 -3.6518706762460324E-8 -4.426860882420574E-4
 0.820000 -0.004409920467971079 -4.56700957818068E-8 -5.521903404625159E-4
 0.830000 -0.004485240043933493 -5.8390005511069015E-8 -6.707118163929447E-4
 0.840000 -0.004618374011026721 -1.2355410230584242E-7 -7.515111748583631E-4
 0.850000 -0.004730783119329132 -2.1801317899119718E-7 -8.873584252843638E-4
 0.860000 -0.004788319483390754 -3.060548972209405E-7 -0.0010184129146996023
 0.870000 -0.004737689347574926 -2.7984009514327056E-7 -0.0011129788130982488
 0.880000 -0.004753158126206713 -2.726685067984656E-7 -0.0011395617801322555
 0.890000 -0.004794573916989449 -2.8277679862891987E-7 -0.0011881274362671409
 0.900000 -0.004594805283039752 -1.582686457151648E-6 -0.0012817986055810309
 0.910000 -0.005090834177032723 -2.191020114666624E-6 -0.0011329718808804044
 0.920000 -0.005627871373319937 -2.1802001699173074E-6 -0.0014954234461723424
 0.930000 -0.005730526010830407 -1.8688574387724735E-6 -0.0019438907657875137
 0.940000 -0.005354922917637229 -1.4638718348036163E-6 -0.0020754664789119346
 0.950000 -0.004723261310266979 -1.062632281672537E-6 -0.0019225356451907103
 0.960000 -0.004045629842577283 -7.121772180463365E-7 -0.0017506130119602059
 0.970000 -0.0035091879050286987 -4.2623758455528484E-7 -0.0016230407197339299
 0.980000 -0.0028826113415091094 -5.454769713207176E-7 -0.0022484903392784228
 0.990000 -0.0021471127613843376 -3.002916724307178E-7 -8.530145537928821E-5
 1.000000 -0.002497637445859426 -1.9331354862892687E-7 -0.0011032193291500003
