0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.020846704894456045 -1.1783060103459043E-6 -0.0026211216263089003
 0.010000 0.002660739694027716 -1.0618384199277648E-6 -0.0017122649669965018
 0.020000 -0.006553287178745482 -8.751143794638714E-6 5.24355888509298E-4
 0.030000 -0.008498745116337908 -1.9390872748398083E-5 -2.6627069083934307E-4
 0.040000 -0.00811668358580222 -2.8689305902599657E-5 -0.002108673377752834
 0.050000 -0.008783655590474665 -3.3421320392824526E-5 -0.0037797265119002294
 0.060000 -0.011486093807273896 -3.282397363598429E-5 -0.0051163182012162155
 0.070000 -0.015718868139140422 -2.776183115994229E-5 -0.006333171132617833
 0.080000 -0.02072337669067962 -1.9713454056593498E-5 -0.007769458917424034
 0.090000 -0.025979686854703265 -1.0114501401571956E-5 -0.009530816001381007
 0.100000 -0.03130352081341035 -7.959961710471258E-8 -0.011585920177893673
 0.110000 -0.036713382157943515 9.632037388557789E-6 -0.013857590489903263
 0.120000 -0.04268796158289758 1.7009546608025904E-5 -0.01595297109550226
 0.130000 -0.049015493358665896 2.2319163074559493E-5 -0.018778747986127033
 0.140000 -0.05459813545276928 2.6027337645230328E-5 -0.02119935785212107
 0.150000 -0.059367806276877655 2.8565143127509907E-5 -0.022866635231949543
 0.160000 -0.06378374633015248 3.0320097253401168E-5 -0.023969408854536415
 0.170000 -0.06814224746382111 3.151404924461554E-5 -0.024868717709661262
 0.180000 -0.07257604400334465 3.2370967357616276E-5 -0.025658062469205416
 0.190000 -0.07709349404892442 3.299062809832367E-5 -0.02646893042182878
 0.200000 -0.08160960781884158 3.342974895959704E-5 -0.027283378412278052
 0.210000 -0.08605035548310404 3.372544971745424E-5 -0.028038118080124526
 0.220000 -0.09038534664108926 3.3906102676577734E-5 -0.028685353441659796
 0.230000 -0.0946139816661091 3.399520841732331E-5 -0.029208813468412094
 0.240000 -0.09874282930709476 3.40124181999393E-5 -0.02961523638195239
 0.250000 -0.10277321437015675 3.397383404725967E-5 -0.029920892831679376
 0.260000 -0.1066998013305009 3.38923542298447E-5 -0.030142109278298586
 0.270000 -0.11051403930225846 3.377816300470893E-5 -0.030291330454587657
 0.280000 -0.1142074616813551 3.363926444397647E-5 -0.03037706261579399
 0.290000 -0.11777311418740004 3.348196521155751E-5 -0.030405457184465287
 0.300000 -0.12120553450965109 3.331126271819136E-5 -0.03038190792148677
 0.310000 -0.12450023718346905 3.3131136074246074E-5 -0.030311949818184754
 0.320000 -0.12765331414520195 3.294475842185223E-5 -0.030201454990649863
 0.330000 -0.13066129657680955 3.2754654537331675E-5 -0.030056439222017624
 0.340000 -0.13352117336242486 3.256282324251152E-5 -0.02988279212569612
 0.350000 -0.1362304290974565 3.2370837062668044E-5 -0.029686099212297683
 0.360000 -0.13878703150078173 3.2179925212227935E-5 -0.02947158330512401
 0.370000 -0.14118936544224592 3.1991042474333484E-5 -0.029244120385708863
 0.380000 -0.14343614072160002 3.18049254582375E-5 -0.029008276419531503
 0.390000 -0.14552629895233435 3.162213767943816E-5 -0.02876833407596809
 0.400000 -0.14745893093540263 3.144310526338873E-5 -0.028528302575664438
 0.410000 -0.14923320423873004 3.126814504765957E-5 -0.028291917153436267
 0.420000 -0.15084829607434497 3.109748672943905E-5 -0.028062636834221024
 0.430000 -0.15230332725489915 3.0931290314178526E-5 -0.02784364577441965
 0.440000 -0.1535972955224111 3.076965981040971E-5 -0.02763785927878402
 0.450000 -0.15472900846513823 3.061265390147846E-5 -0.027447933133481466
 0.460000 -0.15569701685923473 3.0460294126944195E-5 -0.027276274269991112
 0.470000 -0.15649954895514817 3.0312571067543057E-5 -0.02712505118890594
 0.480000 -0.1571344456105759 3.0169448855949667E-5 -0.026996203211442065
 0.490000 -0.15759909568425431 3.0030868373214914E-5 -0.026891448051093152
 0.500000 -0.15789037087843877 2.9896749346257286E-5 -0.026812287322593147
 0.510000 -0.15800455919203665 2.9766991560181388E-5 -0.026760009522853994
 0.520000 -0.15793821775156602 2.9641511687619375E-5 -0.026735601609628717
 0.530000 -0.15769170457137643 2.9520390573094583E-5 -0.02673944730035292
 0.540000 -0.15726926928724694 2.9403892871761037E-5 -0.02677140210115418
 0.550000 -0.1566768018708518 2.9292351428907408E-5 -0.026830632733003384
 0.560000 -0.15591981579356495 2.9186057559202177E-5 -0.026915629371126997
 0.570000 -0.15500254772521363 2.9085214183416988E-5 -0.02702447786543522
 0.580000 -0.15392795125640296 2.898993563025199E-5 -0.027155137521807378
 0.590000 -0.15269807141529068 2.8900265466555593E-5 -0.027305569951939508
 0.600000 -0.151314429558616 2.8816195303304064E-5 -0.027473729609978077
 0.610000 -0.14977827355322207 2.8737679320792943E-5 -0.027657492679819547
 0.620000 -0.14809069662304392 2.8664644709221666E-5 -0.027854586438329228
 0.630000 -0.14625268141384612 2.8596999667297118E-5 -0.02806254382089341
 0.640000 -0.14426512127122668 2.8534640184445408E-5 -0.028278681128765533
 0.650000 -0.14212884751427574 2.847745629490323E-5 -0.028500087127535108
 0.660000 -0.1398446714332276 2.8425338018058686E-5 -0.02872361315550271
 0.670000 -0.13741343904978962 2.8378181140728768E-5 -0.028945858925033548
 0.680000 -0.13483609354908574 2.8335892814046793E-5 -0.029163153077375888
 0.690000 -0.1321137409886332 2.829839711235557E-5 -0.029371529874780408
 0.700000 -0.129247716595983 2.8265640512300084E-5 -0.02956670398045897
 0.710000 -0.12623965032269657 2.8237597510148985E-5 -0.029744044872598283
 0.720000 -0.12309153099327172 2.8214276359109267E-5 -0.029898551725066065
