0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.0 0.0 0.0
 0.010000 -0.009304135522822658 2.0662731278537942E-8 -0.001773023934695815
 0.020000 -0.015797064366383964 7.020529400993398E-8 -0.001479405045440968
 0.030000 -0.01767240348474584 1.4735363755767754E-7 -4.7286845573185144E-4
 0.040000 -0.017376273738401046 2.3020880489075882E-7 5.836411884563615E-4
 0.050000 -0.01672221417644019 2.917216770054501E-7 0.0011146558270079432
 0.060000 -0.01679382978830742 3.1037081409935456E-7 9.500456230210477E-4
 0.070000 -0.01735212850855004 2.816216392728979E-7 4.5032787640840357E-4
 0.080000 -0.0179632607522125 2.2435428034599145E-7 5.964732591142261E-4
 0.090000 -0.018793968619085326 1.5323079583837124E-7 8.658207396302505E-4
 0.100000 -0.01988784613709935 8.006137520457024E-8 0.0012124022192806171
 0.110000 -0.021373783811361166 1.0646804583191501E-8 0.0014317514167462742
 0.120000 -0.021389922195135448 -5.249602856772963E-8 -4.3513378329442046E-4
 0.130000 -0.02035962436581246 -9.740193015660572E-8 -9.83795616864865E-4
 0.140000 -0.018875148402709513 -1.2518916724480715E-7 -8.277067609761703E-4
 0.150000 -0.017548976122539663 -1.4005825848792084E-7 -6.806325692701448E-4
 0.160000 -0.01649059793663224 -1.4671535489356202E-7 -7.430186110715899E-4
 0.170000 -0.015601985300857399 -1.4847660132412263E-7 -9.089318108575077E-4
 0.180000 -0.014787440339501566 -1.4734743251357186E-7 -0.0010713791349809948
 0.190000 -0.013745650335635361 -1.4665906815164698E-7 -0.0013525712667699157
 0.200000 -0.012738177286270047 -1.440699382021696E-7 -0.0015265616475632268
 0.210000 -0.01206205204201361 -1.3829916400962396E-7 -0.0016048840623344375
 0.220000 -0.011523172727330673 -1.3135112309438916E-7 -0.0017200980494236585
 0.230000 -0.010987141246089823 -1.237406219945904E-7 -0.0018155385719668573
 0.240000 -0.010448421598961423 -1.1579825635880335E-7 -0.0018857642991767626
 0.250000 -0.009921996892761107 -1.0790451459028327E-7 -0.0019400573173440397
 0.260000 -0.009411156884655946 -1.0033647772539513E-7 -0.001980115394800906
 0.270000 -0.008915102418670566 -9.320676577480212E-8 -0.002007117320109061
 0.280000 -0.00843466888170476 -8.64926812324509E-8 -0.0020251461172283657
