0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.05757413 0.0 0.099916
 0.010000 0.05737021 6.40978947944891E-25 0.099916
 0.020000 0.05715877 1.307807290032064E-24 0.099916
 0.030000 0.056940290000000005 1.979891537731399E-24 0.099916
 0.040000 0.05671525 3.94444549254484E-24 0.099916
 0.050000 0.05648413 1.8764939611622706E-24 0.099916
 0.060000 0.05624741 1.0493133486092429E-24 0.099916
 0.070000 0.05600557 1.0975480699245575E-23 0.099916
 0.080000 0.05575909 7.666758249033464E-24 0.099916
 0.090000 0.05550845 7.666758249033464E-24 0.099916
 0.100000 0.05525413 4.3580357988213536E-24 0.099916
 0.110000 0.05499661 1.0975480699245575E-23 0.099916
 0.120000 0.05473637 4.3580357988213536E-24 0.099916
 0.130000 0.05447389 1.0493133486092429E-24 0.099916
 0.140000 0.05420965 1.7592925599669796E-23 0.099916
 0.150000 0.05394413 1.0975480699245575E-23 0.099916
 0.160000 0.05367781 7.666758249033464E-24 0.099916
 0.170000 0.05341117 1.0975480699245575E-23 0.099916
 0.180000 0.05314469 9.32111947413952E-24 0.099916
 0.190000 0.05287885 1.0975480699245575E-23 0.099916
 0.200000 0.05261413 1.7592925599669796E-23 0.099916
 0.210000 0.05235101 1.4284203149457686E-23 0.099916
 0.220000 0.05208997 1.593856437456374E-23 0.099916
 0.230000 0.05183149 1.9247286824775852E-23 0.099916
 0.240000 0.05157605 1.9247286824775852E-23 0.099916
 0.250000 0.05132413 1.8833696518499338E-23 0.099916
 0.260000 0.05107621 2.069485289674365E-23 0.099916
 0.270000 0.05083277 2.1211840779589292E-23 0.099916
 0.280000 0.05059429 2.1832226239004063E-23 0.099916
 0.290000 0.05036125 2.3072997157833605E-23 0.099916
 0.300000 0.05013413 2.3900177770386632E-23 0.099916
 0.310000 0.04991341 2.5554538995492688E-23 0.099916
 0.320000 0.04969957 2.3900177770386632E-23 0.099916
 0.330000 0.04949309 2.3900177770386632E-23 0.099916
 0.340000 0.04929445 2.5554538995492688E-23 0.099916
 0.350000 0.049104129999999996 2.6381719608045715E-23 0.099916
 0.360000 0.04892261 2.720890022059874E-23 0.099916
 0.370000 0.04875037 2.4727358382939657E-23 0.099916
 0.380000 0.048587889999999995 2.8863261445704796E-23 0.099916
 0.390000 0.04843565 2.8863261445704796E-23 0.099916
 0.400000 0.04829413 3.051762267081085E-23 0.099916
 0.410000 0.04816381 2.9690442058257823E-23 0.099916
 0.420000 0.04804517 2.8863261445704796E-23 0.099916
 0.430000 0.04793869 2.927685175198131E-23 0.099916
 0.440000 0.04784485 3.0310827517672594E-23 0.099916
 0.450000 0.04776413 3.0931212977087365E-23 0.099916
 0.460000 0.04769701 3.102491703085314E-23 0.099916
 0.470000 0.04764397 3.1231712183991394E-23 0.099916
 0.480000 0.04760549 3.1128314607422266E-23 0.099916
 0.490000 0.04758205 3.216229037311355E-23 0.099916
 0.500000 0.04757413 3.1748700066837037E-23 0.099916
 0.510000 0.04758205 3.133510976056052E-23 0.099916
 0.520000 0.04760549 3.0507929148007495E-23 0.099916
 0.530000 0.04764397 3.133510976056052E-23 0.099916
 0.540000 0.04769701 3.071472430114575E-23 0.099916
 0.550000 0.04776413 3.0507929148007495E-23 0.099916
 0.560000 0.04784485 3.071472430114575E-23 0.099916
