0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.01816405717352732 -2.1209851427221168E-7 -8.934164585336923E-4
 0.010000 -0.001775019239314602 5.965133728342857E-6 -0.0036498400511504507
 0.020000 -0.01653186935040641 9.872058540308409E-6 -2.2616408162547382E-4
 0.030000 -0.022115556034274966 9.039369704329253E-6 3.803411813053502E-4
 0.040000 -0.021378354276927938 4.676051147705023E-6 0.0010856486899977408
 0.050000 -0.01887932812615661 -3.955085042255925E-7 0.00138505969053596
 0.060000 -0.01732838168425884 -4.353298125762057E-6 0.0010351077649071838
 0.070000 -0.017171667717203055 -6.632965835320762E-6 2.03831320588305E-4
 0.080000 -0.017697888079489296 -7.446584448592611E-6 -4.2792505779893806E-4
 0.090000 -0.018155647836072337 -7.292148690514989E-6 -3.41407308828014E-4
 0.100000 -0.017858929750115573 -6.666209135570854E-6 1.0067023611772013E-4
 0.110000 -0.01755117602035955 -5.808192030794498E-6 7.74042637852993E-4
 0.120000 -0.017715914785366604 -4.9015688742660405E-6 0.0012447116542863427
 0.130000 -0.01875523738001584 -4.106545767600073E-6 0.001720406133807267
 0.140000 -0.020835068863019134 -3.5627954261467562E-6 0.002524660327799463
 0.150000 -0.02167942976611704 -3.204756297801204E-6 6.046917716591788E-4
 0.160000 -0.02120811813928794 -3.1251790160822535E-6 1.0150483378726935E-4
 0.170000 -0.019918411270405136 -3.025367107924478E-6 2.375029501614613E-4
 0.180000 -0.018663612324579054 -2.8210901719249926E-6 3.3834928513346154E-4
 0.190000 -0.01770072920245514 -2.5516847526850678E-6 2.592913872016972E-4
 0.200000 -0.016972905288573047 -2.2783440833375877E-6 1.5235865968244943E-4
 0.210000 -0.016434567627078036 -2.5016201204876496E-6 1.8154624567473274E-4
 0.220000 -0.015734126019410054 -2.5617298435570854E-6 1.929276213803954E-5
 0.230000 -0.01495335239832827 -2.457674995362667E-6 -1.1054575599518442E-4
 0.240000 -0.014410389452827826 -2.2764837726171886E-6 -1.8613610382948773E-4
 0.250000 -0.013991804244404176 -2.093498747309731E-6 -2.785557976842212E-4
 0.260000 -0.01363352060245324 -1.923829066990991E-6 -3.6853078247058333E-4
 0.270000 -0.013254923531579175 -1.774190160527392E-6 -4.13808320821286E-4
 0.280000 -0.012858776979995542 -1.646267227768794E-6 -4.60300309667424E-4
 0.290000 -0.012444065839857294 -1.538668564961589E-6 -5.19002130392658E-4
 0.300000 -0.012010131373245204 -1.4477991860404267E-6 -6.383600102539499E-4
 0.310000 -0.011480772399585053 -1.3713232032199356E-6 -8.678862359966423E-4
 0.320000 -0.009779234135256774 -1.4171808890597215E-6 -3.247491912715856E-4
 0.330000 -0.008555765159745455 -1.5082649281251655E-6 5.1131672158062156E-5
 0.340000 -0.007664447897043216 -1.5863278142528686E-6 1.5503150161628678E-4
 0.350000 -0.007141938689348515 -1.662965336581467E-6 -2.2887435046336816E-4
 0.360000 -0.0072089094373246065 -1.7835328105009818E-6 -0.0011562677097748935
 0.370000 -0.007144496634538213 -1.8350452485398743E-6 -0.001645496184983512
 0.380000 -0.006976328525749192 -1.7316184151587842E-6 -0.0019343269181351338
 0.390000 -0.006686368979208143 -1.5764298012108335E-6 -0.0021432127745570264
 0.400000 -0.00623083378557731 -1.4363571366158195E-6 -0.002156718655707165
 0.410000 -0.005690422573587342 -1.3258141019451203E-6 -0.0020217829740135896
 0.420000 -0.005136109097961483 -1.2373068457461735E-6 -0.0018344296916215066
 0.430000 -0.004592604099875175 -1.1613581467196216E-6 -0.001655064157716109
 0.440000 -0.004055686278938269 -1.092445436817535E-6 -0.0014979847284639321
 0.450000 -0.003514674380334386 -1.0284342276267726E-6 -0.0013523255727865416
 0.460000 -0.002963224972570821 -9.68647183530078E-7 -0.0012032429027999587
 0.470000 -0.002400052662917885 -9.12583349823452E-7 -0.0010423508993535377
 0.480000 -0.001825875242758017 -8.595196392777591E-7 -8.685829533185118E-4
 0.490000 -0.0012408331622882466 -8.08594076995088E-7 -6.847408345191566E-4
 0.500000 -6.435594337528551E-4 -7.589754877237908E-7 -4.940684488243069E-4
 0.510000 -3.447883570685808E-5 -7.098356173386786E-7 -2.9894387318422265E-4
 0.520000 5.752801789950354E-4 -6.600521929306483E-7 -1.0183692750683089E-4
 0.530000 0.0011766626343934154 -6.08613984651508E-7 9.486849449843238E-5
 0.540000 0.001766930610911453 -5.548461477947955E-7 2.8850275072753363E-4
 0.550000 0.002347298793728935 -4.983399575136114E-7 4.76343548556197E-4
 0.560000 0.002920612468798886 -4.388024649396161E-7 6.562413274730403E-4
