0.0 1.0 1.0
Linear 3 explicit
 0.000000 0.05757413 0.0 0.099916
 0.010000 0.05737021 1.6543612251060553E-24 0.099916
 0.020000 0.05715877 -3.3087224502121107E-24 0.099916
 0.030000 0.056940290000000005 3.639594695233322E-23 0.099916
 0.040000 0.05671525 -1.6543612251060553E-23 0.099916
 0.050000 0.05648413 -1.6543612251060553E-23 0.099916
 0.060000 0.05624741 1.9521462456251453E-22 0.099916
 0.070000 0.05600557 8.933550615572699E-23 0.099916
 0.080000 0.05575909 3.639594695233322E-23 0.099916
 0.090000 0.05550845 -4.301339185275744E-23 0.099916
 0.100000 0.05525413 2.3161057151484775E-23 0.099916
 0.110000 0.05499661 1.6543612251060553E-23 0.099916
 0.120000 0.05473637 0.0 0.099916
 0.130000 0.05447389 3.970466940254533E-23 0.099916
 0.140000 0.05420965 -6.617444900424221E-23 0.099916
 0.150000 0.05394413 -6.617444900424221E-23 0.099916
 0.160000 0.05367781 -3.970466940254533E-23 0.099916
 0.170000 0.05341117 -1.1911400820763599E-22 0.099916
 0.180000 0.05314469 -1.1911400820763599E-22 0.099916
 0.190000 0.05287885 -1.1911400820763599E-22 0.099916
 0.200000 0.05261413 3.970466940254533E-23 0.099916
 0.210000 0.05235101 3.970466940254533E-23 0.099916
 0.220000 0.05208997 1.9852334701272664E-22 0.099916
 0.230000 0.05183149 -6.617444900424221E-23 0.099916
 0.240000 0.05157605 -1.1911400820763599E-22 0.099916
 0.250000 0.05132413 -6.617444900424221E-23 0.099916
 0.260000 0.05107621 -1.1911400820763599E-22 0.099916
 0.270000 0.05083277 9.26442286059391E-23 0.099916
 0.280000 0.05059429 -1.1911400820763599E-22 0.099916
 0.290000 0.05036125 3.044024654195142E-22 0.099916
 0.300000 0.05013413 -1.3234889800848443E-23 0.099916
 0.310000 0.04991341 3.044024654195142E-22 0.099916
 0.320000 0.04969957 1.9852334701272664E-22 0.099916
 0.330000 0.04949309 5.161607022330893E-22 0.099916
 0.340000 0.04929445 -1.3234889800848443E-23 0.099916
 0.350000 0.049104129999999996 3.044024654195142E-22 0.099916
 0.360000 0.04892261 9.26442286059391E-23 0.099916
 0.370000 0.04875037 5.161607022330893E-22 0.099916
 0.380000 0.048587889999999995 1.9852334701272664E-22 0.099916
 0.390000 0.04843565 9.26442286059391E-23 0.099916
 0.400000 0.04829413 7.279189390466644E-22 0.099916
 0.410000 0.04816381 9.26442286059391E-23 0.099916
 0.420000 0.04804517 4.1028158382630173E-22 0.099916
 0.430000 0.04793869 -1.1911400820763599E-22 0.099916
 0.440000 0.04784485 1.9852334701272664E-22 0.099916
 0.450000 0.04776413 -1.3234889800848443E-23 0.099916
 0.460000 0.04769701 -1.3234889800848443E-23 0.099916
 0.470000 0.04764397 -2.2499312661442353E-22 0.099916
 0.480000 0.04760549 3.044024654195142E-22 0.099916
 0.490000 0.04758205 9.26442286059391E-23 0.099916
 0.500000 0.04757413 1.9852334701272664E-22 0.099916
 0.510000 0.04758205 1.9852334701272664E-22 0.099916
 0.520000 0.04760549 3.044024654195142E-22 0.099916
 0.530000 0.04764397 -2.2499312661442353E-22 0.099916
 0.540000 0.04769701 4.1028158382630173E-22 0.099916
 0.550000 0.04776413 5.161607022330893E-22 0.099916
 0.560000 0.04784485 4.1028158382630173E-22 0.099916
 0.570000 0.04793869 -2.2499312661442353E-22 0.099916
 0.580000 0.04804517 5.161607022330893E-22 0.099916
 0.590000 0.04816381 9.26442286059391E-23 0.099916
 0.600000 0.04829413 6.220398206398768E-22 0.099916
 0.610000 0.04843565 -1.1911400820763599E-22 0.099916
 0.620000 0.04858789 1.9852334701272664E-22 0.099916
 0.630000 0.04875037 -1.3234889800848443E-23 0.099916
 0.640000 0.04892261 -1.3234889800848443E-23 0.099916
 0.650000 0.04910413 -3.3087224502121107E-22 0.099916
 0.660000 0.049294450000000004 1.9852334701272664E-22 0.099916
 0.670000 0.049493090000000003 -1.1911400820763599E-22 0.099916
 0.680000 0.04969957 5.161607022330893E-22 0.099916
 0.690000 0.04991341 1.9852334701272664E-22 0.099916
 0.700000 0.05013413 -1.1911400820763599E-22 0.099916
 0.710000 0.050361249999999996 -1.3234889800848443E-23 0.099916
 0.720000 0.05059429 -1.1911400820763599E-22 0.099916
 0.730000 0.05083277 1.9852334701272664E-22 0.099916
 0.740000 0.05107621 9.26442286059391E-23 0.099916
 0.750000 0.05132413 -1.3234889800848443E-23 0.099916
 0.760000 0.05157605 3.044024654195142E-22 0.099916
 0.770000 0.05183149 3.044024654195142E-22 0.099916
 0.780000 0.05208997 1.9852334701272664E-22 0.099916
 0.790000 0.05235101 3.044024654195142E-22 0.099916
 0.800000 0.05261413 3.044024654195142E-22 0.099916
 0.810000 0.05287885 9.26442286059391E-23 0.099916
 0.820000 0.05314469 1.9852334701272664E-22 0.099916
 0.830000 0.05341117 -1.3234889800848443E-23 0.099916
 0.840000 0.05367781 1.9852334701272664E-22 0.099916
 0.850000 0.05394413 1.9852334701272664E-22 0.099916
 0.860000 0.05420965 9.26442286059391E-23 0.099916
 0.870000 0.05447389 1.9852334701272664E-22 0.099916
 0.880000 0.05473637 -1.1911400820763599E-22 0.099916
 0.890000 0.05499661 -1.3234889800848443E-23 0.099916
 0.900000 0.05525413 -1.1911400820763599E-22 0.099916
 0.910000 0.05550845 1.9852334701272664E-22 0.099916
 0.920000 0.055759090000000004 -1.3234889800848443E-23 0.099916
 0.930000 0.056005570000000005 1.9852334701272664E-22 0.099916
 0.940000 0.05624741 -1.1911400820763599E-22 0.099916
 0.950000 0.05648413 -1.3234889800848443E-23 0.099916
 0.960000 0.05671525 -2.2499312661442353E-22 0.099916
 0.970000 0.056940290000000005 9.26442286059391E-23 0.099916
 0.980000 0.05715877 1.4558378780933287E-22 0.099916
 0.990000 0.057370210000000005 2.514629062161204E-22 0.099916
 1.000000 0.05757413 3.970466940254533E-23 0.099916
